split,folder,image,folder_frames_in_source
train,007-TZ,frame_000760.png,233
train,007-TZ,frame_000765.png,233
train,007-TZ,frame_000770.png,233
train,007-TZ,frame_000775.png,233
train,007-TZ,frame_000780.png,233
train,007-TZ,frame_000785.png,233
train,007-TZ,frame_000790.png,233
train,007-TZ,frame_000795.png,233
train,007-TZ,frame_000799.png,233
train,007-TZ,frame_000804.png,233
train,007-TZ,frame_000809.png,233
train,007-TZ,frame_000814.png,233
train,007-TZ,frame_000819.png,233
train,007-TZ,frame_000824.png,233
train,007-TZ,frame_000829.png,233
train,007-TZ,frame_000834.png,233
train,007-TZ,frame_000839.png,233
train,007-TZ,frame_000844.png,233
train,007-TZ,frame_000849.png,233
train,007-TZ,frame_000854.png,233
train,007-TZ,frame_000859.png,233
train,007-TZ,frame_000864.png,233
train,007-TZ,frame_000869.png,233
train,007-TZ,frame_000874.png,233
train,007-TZ,frame_000878.png,233
train,007-TZ,frame_000883.png,233
train,007-TZ,frame_000888.png,233
train,007-TZ,frame_000893.png,233
train,007-TZ,frame_000898.png,233
train,007-TZ,frame_000903.png,233
train,007-TZ,frame_000908.png,233
train,007-TZ,frame_000913.png,233
train,007-TZ,frame_000918.png,233
train,007-TZ,frame_000923.png,233
train,007-TZ,frame_000928.png,233
train,007-TZ,frame_000933.png,233
train,007-TZ,frame_000938.png,233
train,007-TZ,frame_000943.png,233
train,007-TZ,frame_000948.png,233
train,007-TZ,frame_000953.png,233
train,007-TZ,frame_000957.png,233
train,007-TZ,frame_000962.png,233
train,007-TZ,frame_000967.png,233
train,007-TZ,frame_000972.png,233
train,007-TZ,frame_000977.png,233
train,007-TZ,frame_000982.png,233
train,007-TZ,frame_000987.png,233
train,007-TZ,frame_000992.png,233
train,0923TT9167,frame_000858.png,106
train,0923TT9167,frame_000863.png,106
train,0923TT9167,frame_000868.png,106
train,0923TT9167,frame_000873.png,106
train,0923TT9167,frame_000878.png,106
train,0923TT9167,frame_000883.png,106
train,0923TT9167,frame_000888.png,106
train,0923TT9167,frame_000893.png,106
train,0923TT9167,frame_000898.png,106
train,0923TT9167,frame_000903.png,106
train,0923TT9167,frame_000908.png,106
train,0923TT9167,frame_000913.png,106
train,0923TT9167,frame_000918.png,106
train,0923TT9167,frame_000923.png,106
train,0923TT9167,frame_000928.png,106
train,0923TT9167,frame_000933.png,106
train,0923TT9167,frame_000938.png,106
train,0923TT9167,frame_000943.png,106
train,0923TT9167,frame_000948.png,106
train,0923TT9167,frame_000953.png,106
train,0923TT9167,frame_000958.png,106
train,0923TT9167,frame_000963.png,106
train,A325-01-25_20250211141317,frame_000174.png,12
train,A325-01-25_20250211141317,frame_000180.png,12
train,A325-01-25_20250211141317,frame_000185.png,12
train,ABF-7003(菸蒂),frame_000488.png,14
train,ABF-7003(菸蒂),frame_000494.png,14
train,ABF-7003(菸蒂),frame_000501.png,14
train,AUF6931,frame_000795.png,46
train,AUF6931,frame_000801.png,46
train,AUF6931,frame_000806.png,46
train,AUF6931,frame_000812.png,46
train,AUF6931,frame_000817.png,46
train,AUF6931,frame_000823.png,46
train,AUF6931,frame_000829.png,46
train,AUF6931,frame_000834.png,46
train,AUF6931,frame_000840.png,46
train,BWH-0190亂丟垃圾1,frame_000324.png,72
train,BWH-0190亂丟垃圾1,frame_000329.png,72
train,BWH-0190亂丟垃圾1,frame_000334.png,72
